Time,time,range
1638389442.868846,1638389442881060942,880
1638389442.9637315,1638389442975980053,1695
1638389443.0638716,1638389443076343989,1222
1638389443.1639252,1638389443176207480,1717
1638389443.2663476,1638389443275716004,1414
1638389443.3638747,1638389443376230364,1285
1638389443.4621682,1638389443474773210,1278
1638389443.5620365,1638389443574527633,1422
1638389443.6623242,1638389443674564571,1236
1638389443.7615395,1638389443774146224,1270
1638389443.8615463,1638389443873738502,1402
1638389443.9620452,1638389443973705853,1301
1638389444.0634909,1638389444075699562,1477
1638389444.1605284,1638389444173147812,1358
1638389444.260924,1638389444273204226,1322
1638389444.3617256,1638389444372967238,1384
1638389444.464412,1638389444476834641,1280
1638389444.5600321,1638389444572612019,1232
1638389444.6601167,1638389444672709528,1072
1638389444.7602584,1638389444772831935,1386
1638389444.8608356,1638389444873034450,1404
1638389444.961714,1638389444973305511,1523
1638389445.0612092,1638389445073469740,1529
1638389445.1607416,1638389445173351920,1463
1638389445.2616787,1638389445273626570,1364
1638389445.3611536,1638389445373547190,1164
1638389445.4614537,1638389445473510104,925
1638389445.5611138,1638389445573325926,1339
1638389445.6674795,1638389445680029469,1214
1638389445.7615936,1638389445774008567,1408
1638389445.8658595,1638389445877592460,1397
1638389445.9618833,1638389445974133051,1393
1638389446.0612772,1638389446073256489,1968
1638389446.1568434,1638389446169320435,1610
1638389446.2581208,1638389446270132662,1381
1638389446.357088,1638389446369696434,1399
1638389446.4551497,1638389446467390053,1338
1638389446.5550537,1638389446567400777,1204
1638389446.7250538,1638389446669046383,1414
1638389446.75474,1638389446767311543,1357
1638389446.8542442,1638389446866922089,1263
1638389446.9539704,1638389446966519457,1356
1638389447.0569303,1638389447068783999,1546
1638389447.1543136,1638389447166873156,1190
1638389447.2542245,1638389447266338429,1969
1638389447.3557904,1638389447367382434,1373
1638389447.4538417,1638389447466293198,1142
1638389447.5554645,1638389447567011612,1228
1638389447.6545644,1638389447667082231,1380
1638389447.766944,1638389447767001696,1151
1638389447.8555381,1638389447868055024,1439
1638389447.9540005,1638389447966191267,1401
1638389448.0526898,1638389448064891860,1450
1638389448.1565914,1638389448168542929,1136
1638389448.2528312,1638389448265189034,1306
1638389448.356209,1638389448368133554,1717
1638389448.455074,1638389448466302814,1713
1638389448.5520267,1638389448564785998,1620
1638389448.6511314,1638389448663325695,1251
