Time,time,range
1638389442.7754714,1638389442762950769,3057
1638389442.8508825,1638389442863087613,3064
1638389442.9381003,1638389442950620902,3058
1638389443.0512342,1638389443063586051,3060
1638389443.1524055,1638389443164002228,3061
1638389443.2396636,1638389443250199867,3057
1638389443.3423097,1638389443354652724,3061
1638389443.455447,1638389443467031067,3058
1638389443.5388427,1638389443551343446,3061
1638389443.639128,1638389443651656129,3059
1638389443.7517934,1638389443764353917,3057
1638389443.8384583,1638389443850930534,3062
1638389443.9382532,1638389443950787358,3062
1638389444.0388882,1638389444050667567,3060
1638389444.152246,1638389444163644636,3061
1638389444.251552,1638389444263357437,3060
1638389444.3510287,1638389444363605580,3059
1638389444.439397,1638389444451921299,3058
1638389444.5406346,1638389444551858070,3059
1638389444.6402843,1638389444651917244,3060
1638389444.7417407,1638389444752967983,3059
1638389444.8406148,1638389444852851002,3059
1638389444.953946,1638389444966006257,3058
1638389445.0534182,1638389445065835833,3058
1638389445.1535342,1638389445166029436,3060
1638389445.2149243,1638389445227205959,3059
1638389445.3145359,1638389445327151788,3061
1638389445.4145613,1638389445427094962,3062
1638389445.512252,1638389445524831087,3061
1638389445.6142278,1638389445624731550,3054
1638389445.710785,1638389445723133910,3059
1638389445.8107176,1638389445823330066,3056
1638389445.9093475,1638389445921365322,3059
1638389446.0087726,1638389446021359174,3059
1638389446.1082323,1638389446120847110,3061
1638389446.220161,1638389446230825097,3061
1638389446.307668,1638389446319153621,3059
1638389446.4096975,1638389446422330612,3059
1638389446.504629,1638389446517259652,3058
1638389446.604442,1638389446617106774,3059
1638389446.7261848,1638389446716598564,3060
1638389446.804382,1638389446817102648,3055
1638389446.9023995,1638389446914919919,3058
1638389447.0033166,1638389447015936531,3060
1638389447.103811,1638389447114690985,3060
1638389447.2029512,1638389447214882443,3058
1638389447.2997992,1638389447312162441,3067
1638389447.398071,1638389447410189875,3090
1638389447.497405,1638389447510091318,3136
1638389447.5984118,1638389447610977294,3197
1638389447.766857,1638389447708012226,3263
1638389447.7958376,1638389447808361349,3175
1638389447.8566089,1638389447869050287,1854
1638389447.9546738,1638389447967187936,1224
1638389448.0538366,1638389448065962751,1755
1638389448.151695,1638389448164230246,2582
1638389448.2527657,1638389448262497845,2329
1638389448.3513849,1638389448364081458,2303
1638389448.4558253,1638389448464712780,2168
1638389448.5530777,1638389448565778708,2141
1638389448.6485069,1638389448661294074,2270
1638389448.7468822,1638389448758833508,2285
1638389448.8468785,1638389448858437117,2410
1638389448.9474804,1638389448959796395,2173
1638389449.0434272,1638389449056045340,2115
1638389449.1527026,1638389449163866215,2088
1638389449.2428632,1638389449254937011,2153
1638389449.3824525,1638389449394989174,2255
1638389449.44148,1638389449453893373,2473
1638389449.5442853,1638389449553916532,2608
1638389449.6419928,1638389449653980162,2193
1638389449.7833035,1638389449792692720,2510
1638389449.8788507,1638389449890851715,2689
1638389449.978459,1638389449991056550,2805
1638389450.0777826,1638389450090133820,2985
1638389450.1773083,1638389450189098374,3234
1638389450.2392547,1638389450251371661,3378
1638389450.351897,1638389450364207127,3890
1638389450.4380002,1638389450450105241,3865
1638389450.5530763,1638389450565259427,4333
