,steerAngle,throttle,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,fwLeftPos,fwRightPos,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
0,0.0,-0.0,-0.5171459913253784,-0.0814030021429061,9.973010063171388,-0.0282450001686811,0.0178529992699623,0.0034640000667423,-2.700000047683716,-0.3000000119209289,59.09999847412109,301.46484375,106.98486328125,-55.19087219238281,-1415.293701171875,0.0,0.0,0.0,-0.0267755925483652,0.9996414695498002
1,0.0,-0.0,-0.505174994468689,-0.080205000936985,9.981389999389648,-0.0287779998034238,0.0186519995331764,0.0039969999343156,-2.700000047683716,-0.3000000119209289,59.09999847412109,301.61865234375,106.962890625,-311.2291259765625,-1416.1953125,0.0,0.0,0.0,-0.0410531393133568,0.9991569645218504
2,0.0,-0.0,-0.4955979883670807,-0.1137240007519722,10.00174045562744,-0.0277120005339384,0.0181189998984336,0.0029309999663382,-2.700000047683716,-0.3000000119209289,59.09999847412109,301.5087890625,106.98486328125,-55.44158172607422,-1414.9263916015625,0.0,0.0,0.0,-0.027953091890023,0.9996092359786336
3,0.0,1.947803735733032,-0.4872179925441742,-0.0921759977936744,9.938294410705566,-0.0285110007971525,0.0178529992699623,0.0039969999343156,-2.400000095367432,-1.2000000476837158,59.400001525878906,301.61865234375,106.9189453125,-55.16782379150391,-1415.4061279296875,0.0,0.0,0.0,-0.0280507400090058,0.9996065005715736
4,0.0,3.611865520477295,-0.4728530049324035,-0.0885849967598915,9.961039543151855,-0.0295770000666379,0.0183860007673501,0.0039969999343156,-2.400000095367432,-1.2000000476837158,59.400001525878906,301.61865234375,107.02880859375,-55.0205307006836,-1415.2515869140625,0.0,0.0,0.0,-0.027354262655552,0.9996258021452684
5,0.0,5.275927543640137,-0.4728530049324035,-0.1173150017857551,10.004135131835938,-0.0279789995402097,0.0173199996352195,0.0031979999039322,-2.400000095367432,-1.2000000476837158,59.400001525878906,301.57470703125,106.962890625,-311.1385498046875,-1416.335693359375,0.0,0.0,0.0,-0.0410945593604495,0.9991552618041756
6,0.0,6.523974418640137,-0.502780020236969,-0.076613999903202,9.952659606933594,-0.0285110007971525,0.017587000504136,0.0029309999663382,-2.400000095367432,-1.2000000476837158,59.400001525878906,301.552734375,107.0068359375,-311.1514892578125,-1416.3033447265625,0.0,0.0,0.0,-0.0412020844009179,0.9991508335787044
7,0.0,6.93998908996582,-0.4776409864425659,-0.1280889958143234,10.022090911865234,-0.0285110007971525,0.0178529992699623,0.0034640000667423,-1.7999999523162842,-1.7999999523162842,57.0,301.5087890625,107.0068359375,-55.169830322265625,-1415.036865234375,0.0,0.0,0.0,-0.0281434444966515,0.9996038948162737
8,0.0,6.93998908996582,-0.4955979883670807,-0.1017529964447021,9.996952056884766,-0.0285110007971525,0.0178529992699623,0.0034640000667423,-1.7999999523162842,-1.7999999523162842,57.0,301.5966796875,106.962890625,-55.41640472412109,-1415.010009765625,0.0,0.0,0.0,-0.0281114718093181,0.9996047944826564
9,0.0,6.93998908996582,-0.5087659955024719,-0.0909790024161338,9.9694185256958,-0.0279789995402097,0.0191849991679191,0.0031979999039322,-1.7999999523162842,-1.7999999523162842,57.0,301.5087890625,106.94091796875,-311.1791381835937,-1416.364990234375,0.0,0.0,0.0,-0.0405878736053008,0.9991759727476438
10,0.0,7.77202033996582,-0.4932039976119995,-0.0778110027313232,9.9323091506958,-0.0279789995402097,0.017587000504136,0.0039969999343156,-0.6000000238418579,-1.7999999523162842,59.400001525878906,301.5087890625,106.962890625,-311.2069702148437,-1416.36083984375,0.0,0.0,0.0,-0.0407601634240037,0.9991689592244388
11,0.0,9.02006721496582,-0.4872179925441742,-0.124498002231121,9.937097549438477,-0.0282450001686811,0.0173199996352195,0.0039969999343156,-0.6000000238418579,-1.7999999523162842,59.400001525878906,301.57470703125,106.9189453125,-311.1750793457031,-1416.2845458984375,0.0,0.0,0.0,-0.0408212036143678,0.999166467279339
12,0.0,9.852097511291504,-0.4692620038986206,-0.0849940031766891,9.971813201904297,-0.0282450001686811,0.0186519995331764,0.0039969999343156,-0.6000000238418579,-1.7999999523162842,59.400001525878906,301.48681640625,106.89697265625,-55.07752227783203,-1415.271484375,0.0,0.0,0.0,-0.027268957401496,0.9996281328385248
13,0.0,12.348190307617188,-0.4955979883670807,-0.1065419986844062,9.984981536865234,-0.0293109994381666,0.0181189998984336,0.0034640000667423,-0.6000000238418579,-1.7999999523162842,59.400001525878906,301.61865234375,106.962890625,-55.05098342895508,-1415.3040771484375,0.0,0.0,0.0,-0.0270140589453881,0.9996350537167528
14,0.0,13.180221557617188,-0.515949010848999,-0.1065419986844062,9.945476531982422,-0.0285110007971525,0.0173199996352195,0.0042630000971257,-2.0999999046325684,-1.5,58.5,301.552734375,106.98486328125,-311.17218017578125,-1416.326416015625,0.0,0.0,0.0,-0.0411413764350484,0.9991533351518322
15,0.0,13.596237182617188,-0.5003859996795654,-0.0897819995880127,9.95864486694336,-0.0277120005339384,0.0181189998984336,0.0037299999967217,-2.0999999046325684,-1.5,58.5,301.57470703125,106.94091796875,-311.1968994140625,-1416.366455078125,0.0,0.0,0.0,-0.0413905349522363,0.9991430446219238
16,0.0,14.012251853942873,-0.5003859996795654,-0.0897819995880127,9.95864486694336,-0.0277120005339384,0.0181189998984336,0.0037299999967217,-2.0999999046325684,-1.5,58.5,301.61865234375,106.962890625,-311.2341003417969,-1416.3148193359375,0.0,0.0,0.0,-0.0409970278412198,0.9991592684393146
