Time,time,range
1638389131.1240814,1638389131099125843,1141
1638389131.2041333,1638389131199048121,973
1638389131.3041785,1638389131299066349,812
1638389131.4041336,1638389131398735211,773
1638389131.5028696,1638389131497355978,904
1638389131.6025455,1638389131597375091,874
1638389131.7029536,1638389131697452493,1028
1638389131.8024323,1638389131797378522,1105
1638389131.9028351,1638389131897293508,941
1638389132.0029259,1638389131997539367,908
1638389132.1035202,1638389132098393632,1252
1638389132.2029748,1638389132197906846,1037
1638389132.3032358,1638389132297487309,914
1638389132.4041276,1638389132398388138,846
1638389132.5057888,1638389132499019664,596
1638389132.6038222,1638389132598866513,513
1638389132.7031436,1638389132698268412,577
1638389132.803241,1638389132797931645,881
1638389132.943972,1638389132938687110,1945
1638389133.044079,1638389133038278283,1982
1638389133.1449425,1638389133139033309,1979
1638389133.2435498,1638389133238468229,1941
1638389133.3407896,1638389133335348938,1898
1638389133.4404833,1638389133435646722,1897
1638389133.5407922,1638389133535477158,1894
1638389133.6397305,1638389133634891243,1873
1638389133.7397254,1638389133734757829,1839
1638389133.8381984,1638389133832951455,1743
1638389133.896531,1638389133891569147,1677
1638389133.9969218,1638389133991990487,1817
1638389134.0967789,1638389134091883382,1759
1638389134.1967301,1638389134191788511,1698
1638389134.2948148,1638389134289949370,1442
1638389134.394857,1638389134389836685,1212
1638389134.4950376,1638389134489829690,1052
1638389134.5948198,1638389134590078297,1372
1638389134.6955085,1638389134690552140,1208
1638389134.794716,1638389134790014404,1221
1638389134.8946056,1638389134889851557,1332
1638389134.995721,1638389134990729250,933
1638389135.095181,1638389135089941593,989
1638389135.194287,1638389135189475738,891
1638389135.2971087,1638389135292207345,1070
1638389135.3939805,1638389135387760445,1108
1638389135.493331,1638389135488149431,1474
1638389135.5923889,1638389135587656229,1324
1638389135.692771,1638389135687840294,1272
1638389135.7927032,1638389135787736982,984
1638389135.8918936,1638389135887130850,489
1638389135.9948575,1638389135987133488,270
1638389136.1350334,1638389136128409441,4089
1638389136.2337477,1638389136228610537,3988
1638389136.3440266,1638389136338492307,3874
1638389136.443719,1638389136438602507,3773
1638389136.5344288,1638389136529678724,3701
1638389136.590309,1638389136585762739,2964
1638389136.6901724,1638389136685582384,1228
1638389136.7920377,1638389136787465501,886
1638389136.8904743,1638389136885930195,1588
1638389136.9891682,1638389136984406817,854
1638389137.0920227,1638389137084592659,1317
1638389137.243089,1638389137238217789,3007
1638389137.3330035,1638389137328319675,2867
1638389137.4329596,1638389137428453730,2768
1638389137.5434637,1638389137538532859,4412
1638389137.6314456,1638389137626677954,4477
1638389137.6914828,1638389137685474757,4199
1638389137.7959585,1638389137791360112,1020
1638389137.887747,1638389137883149124,873
1638389137.9862816,1638389137981251377,740
1638389138.0857437,1638389138081265324,952
1638389138.1964226,1638389138181411878,2676
1638389138.3113513,1638389138306845765,3389
1638389138.430315,1638389138425931044,3635
1638389138.5400999,1638389138535580845,3551
1638389138.627452,1638389138622170763,3422
1638389138.684024,1638389138679651026,3161
1638389138.78399,1638389138779642822,1932
1638389138.9269276,1638389138922329768,1507
1638389139.0266025,1638389139022122573,1380
1638389139.1272526,1638389139122137340,1320
1638389139.239608,1638389139235292438,1300
1638389139.2845404,1638389139280206521,1149
1638389139.382421,1638389139378033064,1050
1638389139.482072,1638389139477717792,2894
1638389139.582088,1638389139577844291,2812
1638389139.6852071,1638389139677797280,2890
1638389139.7865183,1638389139782191931,3940
1638389139.8826773,1638389139878091063,3785
1638389139.9823766,1638389139977999776,3689
1638389140.1419203,1638389140137103641,2099
1638389140.2292912,1638389140224364585,1605
1638389140.3422306,1638389140337080927,1501
1638389140.4417791,1638389140437484280,1540
1638389140.5401666,1638389140535674876,1577
1638389140.6276364,1638389140622706210,1555
1638389140.7407548,1638389140736085702,2861
1638389140.7791333,1638389140774655639,3058
1638389140.8787844,1638389140874038197,2755
1638389140.9800227,1638389140974144952,1689
1638389141.0781732,1638389141073911319,708
1638389141.1777794,1638389141173664231,1203
1638389141.2819512,1638389141274578891,1261
1638389141.3828914,1638389141378493325,1103
1638389141.4793198,1638389141474599411,1340
