Time,time,range
1638389116.1257477,1638389116118971045,1879
1638389116.2278807,1638389116221243384,1887
1638389116.3399382,1638389116332274933,1883
1638389116.425891,1638389116419246328,1882
1638389116.5387998,1638389116532184896,1885
1638389116.6258862,1638389116619136652,1879
1638389116.725926,1638389116719048894,1882
1638389116.805111,1638389116798540671,1879
1638389116.9408417,1638389116932142911,1883
1638389117.0055287,1638389116998624406,1882
1638389117.105482,1638389117098047772,1880
1638389117.2026832,1638389117196050068,1882
1638389117.3028715,1638389117295355865,1879
1638389117.402089,1638389117395351595,1878
1638389117.500594,1638389117493958761,1880
1638389117.6002004,1638389117593371655,1880
1638389117.7005067,1638389117693635858,1885
1638389117.7994776,1638389117792676986,1878
1638389117.899681,1638389117892522436,1881
1638389118.0008993,1638389117993030472,1885
1638389118.0995145,1638389118093030728,1881
1638389118.1950405,1638389118188220777,1884
1638389118.295333,1638389118288367766,1885
1638389118.3935733,1638389118386560024,1884
1638389118.4932082,1638389118486541471,1887
1638389118.5952535,1638389118586471244,1884
1638389118.6914434,1638389118684802791,1879
1638389118.815461,1638389118808999851,1879
1638389118.8903427,1638389118883412334,1889
1638389118.988663,1638389118981935937,1887
1638389119.088314,1638389119081260790,1881
1638389119.187925,1638389119181399173,1883
1638389119.2856915,1638389119279211478,1881
1638389119.3850508,1638389119378698372,1880
1638389119.4849083,1638389119478587765,1883
1638389119.6369987,1638389119578583057,1883
1638389119.6831121,1638389119676729467,1880
1638389119.7832208,1638389119776892333,1881
1638389119.883806,1638389119877001494,1882
1638389119.9841583,1638389119975937901,1883
1638389120.0823023,1638389120075840530,1882
1638389120.1822033,1638389120175349344,1881
1638389120.285531,1638389120272249388,1883
1638389120.3786118,1638389120372340672,1883
1638389120.4771874,1638389120470906606,1885
1638389120.5763712,1638389120569843211,1879
1638389120.6760461,1638389120669490481,1885
1638389120.7769148,1638389120769889772,1880
1638389120.875233,1638389120868718969,1888
1638389120.973932,1638389120967599057,1883
1638389121.0757294,1638389121069445938,1883
1638389121.1737041,1638389121166973294,1883
1638389121.2742321,1638389121264535498,1884
1638389121.371823,1638389121365573090,1883
1638389121.4692333,1638389121462890316,1885
1638389121.569187,1638389121562941585,1886
1638389121.6699247,1638389121662980717,1884
1638389121.7668154,1638389121760748416,1883
1638389121.8672624,1638389121861220051,1885
1638389121.9677925,1638389121961287260,1884
1638389122.0663817,1638389122059696566,1884
1638389122.16647,1638389122159692091,1884
1638389122.266247,1638389122259740955,1884
1638389122.3661735,1638389122359683295,1886
1638389122.4611015,1638389122455094075,1885
1638389122.561002,1638389122555044281,1884
1638389122.661162,1638389122655022407,1883
1638389122.7590976,1638389122752779837,1886
1638389122.8588016,1638389122852407606,1883
1638389122.9588256,1638389122952771458,1882
1638389123.056473,1638389123050458223,1882
1638389123.1564503,1638389123150476815,1889
1638389123.256926,1638389123250638862,1884
1638389123.3543184,1638389123348307679,1883
1638389123.4542549,1638389123448335699,1881
1638389123.5544333,1638389123548062483,1886
1638389123.6534839,1638389123647483604,1886
1638389123.7520854,1638389123746242506,1885
1638389123.8510184,1638389123845053602,1887
1638389123.9510772,1638389123945055577,1885
1638389124.0523622,1638389124045658902,1884
1638389124.1530848,1638389124144395451,1880
1638389124.2866404,1638389124243637948,1885
1638389124.3502831,1638389124343824208,1885
1638389124.4497788,1638389124443706525,1882
1638389124.5456834,1638389124539672311,1885
1638389124.6456573,1638389124639466231,1880
