Time,steerAngle,throttle
1638389117.4121833,-0.0,0.0
1638389117.4200606,-0.0,0.0
1638389117.4280655,-0.0,0.0
1638389117.4360497,-0.0,0.0
1638389117.4398944,-0.0,0.0
1638389117.4479842,-0.0,0.0
1638389117.456061,-0.0,0.0
1638389117.464038,-0.0,0.0
1638389117.472031,-0.0,0.0
1638389117.480027,-0.0,0.0
1638389117.48805,-0.0,0.0
1638389117.4959884,-0.0,0.0
1638389117.5040421,-0.0,0.0
1638389117.5079577,-0.0,0.0
1638389117.7759097,-0.0,0.0
1638389117.7840047,-0.0,0.0
1638389117.7920084,-0.0,0.0
1638389117.8000379,-0.0,0.0
1638389117.80802,-0.0,0.0
1638389117.8160012,-0.0,0.0
1638389117.824011,-0.0,0.0
1638389117.8279288,-0.0,0.0
1638389117.835902,-0.0,0.0
1638389117.8440304,-0.0,0.0
1638389118.2039783,-0.0,0.0
1638389118.2079206,-0.0,0.0
1638389118.2160006,-0.0,0.0
1638389118.2240956,-0.0,0.0
1638389118.2320418,-0.0,0.0
1638389118.2399852,-0.0,0.0
1638389118.2479408,-0.0,0.0
1638389118.2559357,-0.0,0.0
1638389118.264026,-0.0,0.0
1638389118.316091,-0.0,0.0
1638389118.324074,-0.0,0.0
1638389118.3280096,-0.0,0.0
1638389118.336147,-0.0,0.0
1638389118.343979,-0.0,0.0
1638389118.7080426,0.0167166106402874,0.0
1638389118.7160282,0.0384991317987442,0.0
1638389118.7239833,0.06681641191244125,0.0
1638389118.7280357,0.09732034057378769,0.0
1638389118.7358906,0.1321723759174347,0.0
1638389118.7440064,0.1670244187116623,0.0
1638389118.751988,0.19752834737300873,0.0
1638389118.7600167,0.22148911654949188,0.0
1638389118.7680092,0.24109338223934174,0.0
1638389118.7758904,0.2519846558570862,0.0
1638389118.7840402,0.25851941108703613,0.0
1638389118.7879436,0.2617993950843811,0.0
1638389118.9522443,0.23673687875270844,0.0
1638389118.9601035,0.20841960608959198,0.0
1638389118.96795,0.17356757819652557,0.0
1638389118.9760416,0.13870714604854584,0.0
1638389118.984037,0.10385510325431824,0.0
1638389118.9920251,0.06899465620517731,0.0
1638389119.0000021,0.0384991317987442,0.0
1638389119.0079575,0.012360108084976673,0.0
1638389119.011996,0.0,0.0
1638389119.0200007,0.0,0.0
1638389119.464043,0.0,0.0
1638389119.472168,0.0,0.0
1638389119.479973,0.0,0.0
1638389119.483972,-0.014555181376636028,0.0
1638389119.4919524,-0.034159451723098755,0.0
1638389119.5000374,-0.06029847264289856,0.0
1638389119.5080016,-0.08862415701150894,0.0
1638389119.5159795,-0.12347618490457535,0.0
1638389119.5239882,-0.15832822024822235,0.0
1638389119.5319536,-0.18883216381072998,0.0
1638389119.5399094,-0.21279293298721313,0.0
1638389119.5438628,-0.23457545042037964,0.0
1638389119.5519934,-0.24764496088027954,0.0
1638389119.5601737,-0.2585362195968628,0.0
1638389119.567935,-0.2617993950843811,0.0
1638389119.7759273,-0.23893195390701294,0.0
1638389119.7839015,-0.21714943647384644,0.0
1638389119.7918916,-0.18883216381072998,0.0
1638389119.7998521,-0.15397171676158905,0.0
1638389119.8038363,-0.11911968886852264,0.0
1638389119.811899,-0.08426765352487564,0.0
1638389119.8200014,-0.05158546566963196,0.0
1638389119.8280272,-0.025446441024541855,0.0
1638389119.8360436,-0.005842173006385565,0.0
1638389119.8440216,0.0,0.0
1638389119.8479779,0.0,0.0
1638389120.3880134,0.0,0.0
1638389120.396912,0.0,0.0
1638389120.403973,0.0,0.0
1638389120.4120395,0.008003603667020798,0.0
1638389120.4200444,0.01889486238360405,0.0
1638389120.4280157,0.03196437656879425,0.0
1638389120.4359462,0.0472121387720108,0.0
1638389120.4440913,0.062459904700517654,0.0
1638389120.448002,0.0777076706290245,0.0
1638389120.455852,0.09078559279441833,0.0
1638389120.4639833,0.10167685151100159,0.0
1638389120.471891,0.11256811022758484,0.0
1638389120.479953,0.12128111720085144,0.0
1638389120.4879417,0.1278158724308014,0.0
1638389120.4960468,0.1321723759174347,0.0
1638389120.5038283,0.13435062766075134,0.0
1638389120.5119684,0.13870714604854584,0.0
1638389120.5159771,0.1408853828907013,0.0
1638389120.5563807,0.12128111720085144,0.0
1638389120.5639324,0.10167685151100159,0.0
1638389120.5679946,0.08207257837057114,0.0
1638389120.5760112,0.062459904700517654,0.0
1638389120.583998,0.0428556352853775,0.0
1638389120.5931776,0.0254296213388443,0.0
1638389120.5999932,0.010181856341660023,0.0
1638389120.607928,0.0,0.0
1638389120.6160326,0.0,0.0
1638389123.703873,0.0,-0.0
1638389123.7200015,0.0,0.28374183177948
1638389123.7480414,0.0,0.6997573375701904
1638389123.7639241,0.0,1.1157727241516113
1638389123.771852,0.0,1.5317882299423218
1638389123.7838628,0.0,1.9478037357330322
1638389123.7999473,0.0,2.3638193607330322
1638389123.8079333,0.0,2.779834747314453
1638389123.8159816,0.0,3.195850133895874
1638389123.8239803,0.0,3.611865520477295
1638389123.8319128,0.0,4.027881145477295
1638389123.8400457,0.0,4.443896770477295
1638389123.8519106,0.0,4.859911918640137
1638389123.8678703,0.0,5.275927543640137
1638389123.8758266,0.0,5.691943168640137
