Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1638389111.2059941,1,1638389111,205832004,0,-3428.875732421875,123.87374114990234,0.0,0.0,0.0,-0.011869423770072298,0.9999295559084982
1638389111.2252078,2,1638389111,224946975,0,-3428.875732421875,123.87374114990234,0.0,0.0,0.0,-0.011869423770072298,0.9999295559084982
1638389111.2447197,3,1638389111,244541883,0,-3428.892333984375,123.66716766357422,0.0,0.0,0.0,-0.012054207299057417,0.9999273454038505
1638389111.263919,4,1638389111,263753890,0,-3428.892333984375,123.66716766357422,0.0,0.0,0.0,-0.012054207299057417,0.9999273454038505
1638389111.284447,5,1638389111,284250974,0,-3428.820068359375,123.70136260986328,0.0,0.0,0.0,-0.012330341610495886,0.9999239784482461
1638389111.303078,6,1638389111,302900075,0,-3428.820068359375,123.70136260986328,0.0,0.0,0.0,-0.012330341610495886,0.9999239784482461
1638389111.3230197,7,1638389111,322813987,0,-3428.85986328125,123.70191955566406,0.0,0.0,0.0,-0.01218477844681226,0.9999257628315225
1638389111.338283,8,1638389111,338033914,0,-3428.85986328125,123.70191955566406,0.0,0.0,0.0,-0.01218477844681226,0.9999257628315225
1638389111.3610756,9,1638389111,360790014,0,-3428.839111328125,123.7214126586914,0.0,0.0,0.0,-0.012316736020936333,0.9999241461299905
1638389111.374388,10,1638389111,374123096,0,-3428.839111328125,123.7214126586914,0.0,0.0,0.0,-0.012316736020936333,0.9999241461299905
1638389111.3989203,11,1638389111,398739099,0,-3428.791259765625,123.65790557861328,0.0,0.0,0.0,-0.012225805737914725,0.9999252620441483
1638389111.409345,12,1638389111,409082889,0,-3428.791259765625,123.65790557861328,0.0,0.0,0.0,-0.012225805737914725,0.9999252620441483
1638389111.4362128,13,1638389111,436053991,0,-3428.90283203125,123.91571807861328,0.0,0.0,0.0,-0.011809486187781751,0.9999302655865461
1638389111.4437706,14,1638389111,443561077,0,-3428.90283203125,123.91571807861328,0.0,0.0,0.0,-0.011809486187781751,0.9999302655865461
1638389111.4726,15,1638389111,472392082,0,-3428.8349609375,123.80885314941406,0.0,0.0,0.0,-0.012264787046663688,0.9999247846706771
1638389111.4805768,16,1638389111,480407953,0,-3428.8349609375,123.80885314941406,0.0,0.0,0.0,-0.012264787046663688,0.9999247846706771
1638389111.509389,17,1638389111,509152889,0,-3428.96142578125,123.74542999267578,0.0,0.0,0.0,-0.01248367672577184,0.9999220758716183
1638389111.516862,18,1638389111,516639947,0,-3428.96142578125,123.74542999267578,0.0,0.0,0.0,-0.01248367672577184,0.9999220758716183
1638389111.5470784,19,1638389111,546854019,0,-3428.855224609375,123.75270080566406,0.0,0.0,0.0,-0.01252881719438831,0.9999215112896159
1638389111.5543723,20,1638389111,554169893,0,-3428.855224609375,123.75270080566406,0.0,0.0,0.0,-0.01252881719438831,0.9999215112896159
1638389111.5850313,21,1638389111,584861993,0,-3428.776611328125,123.92538452148438,0.0,0.0,0.0,-0.011958775966173169,0.999928491281947
1638389111.593729,22,1638389111,593522071,0,-3428.776611328125,123.92538452148438,0.0,0.0,0.0,-0.011958775966173169,0.999928491281947
1638389111.6219075,23,1638389111,621664047,0,-3428.826904296875,123.90133666992188,0.0,0.0,0.0,-0.012114215481189202,0.9999266201993401
1638389111.6306906,24,1638389111,630414009,0,-3428.826904296875,123.90133666992188,0.0,0.0,0.0,-0.012114215481189202,0.9999266201993401
1638389111.660139,25,1638389111,659936904,0,-3428.815673828125,123.70344543457031,0.0,0.0,0.0,-0.012289718535444886,0.9999244785574156
1638389111.6697881,26,1638389111,669569015,0,-3428.815673828125,123.70344543457031,0.0,0.0,0.0,-0.012289718535444886,0.9999244785574156
1638389111.698587,27,1638389111,698401927,0,-3428.792724609375,123.73545837402344,0.0,0.0,0.0,-0.012109549897343254,0.9999266767124896
1638389111.7094076,28,1638389111,709156036,0,-3428.792724609375,123.73545837402344,0.0,0.0,0.0,-0.012109549897343254,0.9999266767124896
1638389111.736223,29,1638389111,736053943,0,-3428.783203125,123.80711364746094,0.0,0.0,0.0,-0.011730969958207386,0.9999311898044984
1638389111.7464921,30,1638389111,746131896,0,-3428.783203125,123.80711364746094,0.0,0.0,0.0,-0.011730969958207386,0.9999311898044984
1638389111.773975,31,1638389111,773735046,0,-3428.858154296875,123.73319244384766,0.0,0.0,0.0,-0.012407547933241678,0.9999230234144448
1638389111.7845573,32,1638389111,784348011,0,-3428.858154296875,123.73319244384766,0.0,0.0,0.0,-0.012407547933241678,0.9999230234144448
1638389111.8126838,33,1638389111,812457084,0,-3428.828125,123.62437438964844,0.0,0.0,0.0,-0.012553082758300903,0.9999212069524595
1638389111.8217459,34,1638389111,821506023,0,-3428.828125,123.62437438964844,0.0,0.0,0.0,-0.012553082758300903,0.9999212069524595
1638389111.8500433,35,1638389111,849854946,0,-3429.010009765625,123.66912078857422,0.0,0.0,0.0,-0.012614759368425908,0.9999204307574062
1638389111.8592367,36,1638389111,859044075,0,-3429.010009765625,123.66912078857422,0.0,0.0,0.0,-0.012614759368425908,0.9999204307574062
1638389111.8889482,37,1638389111,888745069,0,-3428.78076171875,123.70356750488281,0.0,0.0,0.0,-0.012300505229423097,0.9999243459237809
