Time,time,range
1638389575.5558057,1638389575571263226,3808
1638389575.58321,1638389575599158455,3825
1638389575.6811824,1638389575697142816,3951
1638389575.7814713,1638389575797356239,4008
1638389575.8796606,1638389575895353412,4052
1638389575.9798565,1638389575995607876,4311
1638389576.0795069,1638389576095335395,4071
1638389576.178551,1638389576194141011,4252
1638389576.2808158,1638389576294748096,4393
1638389576.380518,1638389576396282503,4158
1638389576.4808521,1638389576496249029,4052
1638389576.574812,1638389576590186738,4542
1638389576.6738682,1638389576688631321,3783
1638389576.8138742,1638389576829819492,3044
1638389576.9135454,1638389576929453683,3151
1638389577.012151,1638389577027750826,3251
1638389577.1116016,1638389577127443061,3337
1638389577.2117534,1638389577227721272,3436
1638389577.313381,1638389577326065569,3540
1638389577.410196,1638389577426064724,3642
1638389577.50797,1638389577523745808,3741
1638389577.6091719,1638389577624528382,3846
1638389577.7088377,1638389577723685473,3949
1638389577.8062274,1638389577821485668,4053
1638389577.906414,1638389577921562946,4192
1638389577.9647667,1638389577980424872,358
1638389578.0632684,1638389578078551952,1061
1638389578.163695,1638389578178474050,800
1638389578.2635982,1638389578278310160,868
1638389578.36318,1638389578378716205,1918
1638389578.4639208,1638389578478489713,1477
1638389578.558383,1638389578573638847,1540
1638389578.6601827,1638389578676016097,2152
1638389578.759395,1638389578773653351,1589
1638389578.861798,1638389578876783449,2463
1638389578.955921,1638389578971377543,2333
1638389579.1205268,1638389579073548721,1081
1638389579.1572359,1638389579172547427,2048
1638389579.260085,1638389579275441670,2233
1638389579.3579025,1638389579373482845,2443
1638389579.4591477,1638389579472028384,2053
1638389579.5924258,1638389579607967143,160
1638389579.6927962,1638389579708011398,214
1638389579.7912662,1638389579806533656,232
1638389579.860275,1638389579875161067,3544
1638389579.9510605,1638389579966271097,4005
1638389580.087791,1638389580065059405,4166
1638389580.1527724,1638389580165450135,3990
1638389580.2494872,1638389580265245306,3318
1638389580.3625207,1638389580377889305,3055
1638389580.4573877,1638389580473117702,2927
1638389580.557504,1638389580573062245,1861
1638389580.648005,1638389580662141769,2152
1638389580.7560568,1638389580771074652,2533
1638389580.8419933,1638389580856501758,2968
1638389580.981466,1638389580997030447,3038
1638389581.0797796,1638389581095034534,2905
1638389581.1805081,1638389581195890903,2799
1638389581.2780879,1638389581293602186,2588
1638389581.3788228,1638389581393507847,2431
1638389581.4785402,1638389581491085227,2444
1638389581.543734,1638389581557993387,2569
1638389581.6439366,1638389581658729134,3151
1638389581.7428477,1638389581757848719,1908
1638389581.857949,1638389581873274767,2047
1638389581.9443674,1638389581959470679,457
1638389582.0474083,1638389582060755491,633
1638389582.157375,1638389582170797362,1103
1638389582.2464774,1638389582261016644,1481
1638389582.3444386,1638389582358898936,1667
1638389582.4431663,1638389582458045628,949
1638389582.543857,1638389582559038165,780
1638389582.6441727,1638389582659197855,912
1638389582.7572758,1638389582772336586,993
1638389582.845125,1638389582860075037,722
1638389582.9556537,1638389582970697833,1517
1638389583.0565436,1638389583071926631,828
1638389583.1580148,1638389583172329257,746
1638389583.2192137,1638389583234730307,1841
1638389583.3195512,1638389583334786222,2191
1638389583.4188678,1638389583434296576,980
1638389583.5168805,1638389583532194517,968
1638389583.616218,1638389583631381336,1069
1638389583.717516,1638389583731838961,900
1638389583.8165238,1638389583831634465,975
1638389583.9138157,1638389583928579666,1563
1638389584.0138192,1638389584029194690,1095
1638389584.1163204,1638389584129084487,1064
1638389584.211685,1638389584227064116,1147
1638389584.3121362,1638389584327358591,1090
1638389584.454514,1638389584468596256,1109
1638389584.5560334,1638389584570922147,1264
1638389584.6504567,1638389584665881528,1111
1638389584.760257,1638389584774620928,1216
1638389584.8507793,1638389584866187881,1657
1638389584.956244,1638389584971108300,1993
1638389585.0053236,1638389585020938960,1662
1638389585.104036,1638389585119279647,1509
1638389585.2037795,1638389585218990461,1249
1638389585.302213,1638389585317321200,1337
1638389585.4026568,1638389585417287321,1546
1638389585.500409,1638389585515336556,1164
1638389585.5998013,1638389585615031901,1121
1638389585.699644,1638389585715136301,2232
1638389585.7970839,1638389585812678307,3509
1638389585.8982992,1638389585913141865,3149
1638389585.998455,1638389586013520012,2510
1638389586.0975337,1638389586112650133,1702
1638389586.1971219,1638389586212601382,1738
1638389586.296689,1638389586311949051,946
1638389586.396856,1638389586411245158,864
1638389586.4910264,1638389586506562493,755
1638389586.591359,1638389586606883006,2282
1638389586.6912527,1638389586706737487,2899
1638389586.7888787,1638389586804447637,2879
1638389586.888934,1638389586904113216,2902
1638389586.9874685,1638389587002311377,2966
1638389587.087005,1638389587102276973,2920
1638389587.186568,1638389587202071219,2944
