Time,time,range
1638389584.9549773,1638389584970283786,4617
1638389585.075519,1638389585090525878,4609
1638389585.1434267,1638389585157661650,345
1638389585.2577412,1638389585272957760,543
1638389585.3422623,1638389585357479311,1116
1638389585.4552395,1638389585470733850,1360
1638389585.543195,1638389585557883731,1151
1638389585.6558754,1638389585670830725,1089
1638389585.7766697,1638389585791927442,4226
1638389585.8768723,1638389585891764347,4248
1638389585.9777741,1638389585992214469,3099
1638389586.0774589,1638389586092523885,2493
1638389586.1724663,1638389586187740963,2026
1638389586.2724695,1638389586287909343,1745
1638389586.3760855,1638389586391429269,1559
1638389586.4557397,1638389586470668763,2746
1638389586.5559962,1638389586570720583,2974
1638389586.6429162,1638389586657779081,3012
1638389586.7555475,1638389586770733809,3805
1638389586.8431048,1638389586857800640,3291
1638389586.9553263,1638389586970838856,3905
1638389587.0556016,1638389587070978087,4006
1638389587.1428165,1638389587157884577,4250
1638389587.2554994,1638389587270686888,3934
1638389587.3561733,1638389587370656755,4085
1638389587.45645,1638389587470660006,4099
1638389587.5552137,1638389587570623103,4232
1638389587.6581502,1638389587673201041,4031
1638389587.7550435,1638389587770387580,4152
1638389587.841482,1638389587856976004,4243
1638389587.9555457,1638389587969917322,4070
1638389588.0414617,1638389588056899553,4174
1638389588.1554434,1638389588170210525,4122
1638389588.2415626,1638389588256661473,4268
1638389588.3548503,1638389588369921197,4088
1638389588.4551835,1638389588469943795,4191
1638389588.554534,1638389588570005298,3988
1638389588.6557724,1638389588669894148,4072
1638389588.7570126,1638389588771656450,4216
1638389588.855185,1638389588869668412,4255
1638389588.943825,1638389588958883418,4080
1638389589.0434396,1638389589058760094,4177
1638389589.1441991,1638389589158636364,4068
1638389589.2569525,1638389589272213348,3752
1638389589.3647091,1638389589379388326,1913
1638389589.4638822,1638389589479268607,1890
1638389589.5640242,1638389589579391434,2196
1638389589.6491985,1638389589664519356,3445
1638389589.757503,1638389589772390726,2248
1638389589.8435118,1638389589858770184,836
1638389589.9574142,1638389589972183734,1404
1638389590.0437775,1638389590058581799,1294
1638389590.1484478,1638389590162113229,2034
1638389590.2435286,1638389590258846669,975
1638389590.3477762,1638389590362561740,1046
1638389590.5266075,1638389590472209715,2772
1638389590.5444055,1638389590559560789,3911
1638389590.6432981,1638389590658657359,3719
1638389590.7572212,1638389590771913543,3905
1638389590.8521028,1638389590867440131,3504
1638389590.9456196,1638389590959201639,3798
1638389591.0566964,1638389591071413276,3941
1638389591.1438842,1638389591158498282,3840
1638389591.2212057,1638389591233697064,3909
1638389591.3187194,1638389591333678484,3708
1638389591.4184952,1638389591433712402,3726
1638389591.5185025,1638389591533779705,3765
1638389591.6233807,1638389591633710344,3876
1638389591.7186592,1638389591734031444,3553
1638389591.8169932,1638389591832024205,3659
1638389591.9165788,1638389591931880991,3686
1638389592.0170243,1638389592032290638,3050
1638389592.1172187,1638389592132415828,1862
1638389592.2155492,1638389592230779855,1445
1638389592.3158457,1638389592331181393,1676
1638389592.4169657,1638389592431415383,1216
1638389592.5170343,1638389592531922805,1051
1638389592.6159942,1638389592630835571,2926
1638389592.7157147,1638389592730282284,2743
1638389592.859688,1638389592871984218,2548
1638389592.9614313,1638389592976204225,2418
1638389593.0573065,1638389593071253800,2301
1638389593.155962,1638389593170515957,2240
1638389593.2574165,1638389593272234733,2242
1638389593.359043,1638389593373799554,2240
1638389593.4564357,1638389593471168362,2238
1638389593.5593815,1638389593574414401,2219
1638389593.6598353,1638389593675021167,2227
1638389593.7558722,1638389593770828286,2238
1638389593.8553941,1638389593870602777,2152
1638389593.9554517,1638389593970400080,1982
1638389594.0601463,1638389594073567126,1888
1638389594.1156878,1638389594127279389,1712
1638389594.2124043,1638389594227406917,1717
1638389594.312782,1638389594327640172,1034
1638389594.4117148,1638389594426946570,909
1638389594.5109072,1638389594526044742,843
1638389594.6112158,1638389594626460077,819
1638389594.7112465,1638389594726079959,750
1638389594.811983,1638389594826559251,833
1638389594.9112036,1638389594926301578,814
1638389595.0113347,1638389595026434945,869
1638389595.1112115,1638389595126407343,918
1638389595.2116299,1638389595226815566,785
1638389595.3103774,1638389595325190233,784
1638389595.4132135,1638389595426961660,812
1638389595.517895,1638389595528107057,861
1638389595.6122313,1638389595626809739,823
1638389595.7129533,1638389595728063831,910
1638389595.8078892,1638389595822603050,886
1638389595.907979,1638389595922751955,775
1638389596.0088646,1638389596023837045,844
1638389596.111114,1638389596123186196,927
1638389596.2074802,1638389596222426235,819
1638389596.308628,1638389596323155308,993
1638389596.4080505,1638389596422519095,796
1638389596.507555,1638389596522670991,782
1638389596.6084292,1638389596623150486,770
1638389596.7065582,1638389596721158985,761
1638389596.806027,1638389596820930941,875
1638389596.9078825,1638389596922947178,868
1638389597.0059621,1638389597020980681,967
1638389597.11105,1638389597120942969,887
1638389597.2071452,1638389597221032910,452
1638389597.3482347,1638389597363249946,463
1638389597.4513755,1638389597420130678,1021
1638389597.505096,1638389597520156089,744
1638389597.6051073,1638389597620160512,797
1638389597.715426,1638389597717951381,883
1638389597.8027854,1638389597817823514,662
1638389597.9030964,1638389597917479401,800
1638389598.0028522,1638389598017869445,854
1638389598.102941,1638389598117845245,790
1638389598.2029533,1638389598218017916,839
1638389598.3032866,1638389598318301158,908
1638389598.4014194,1638389598416471991,958
1638389598.5018296,1638389598516422947,785
1638389598.6013362,1638389598616440361,792
1638389598.7017484,1638389598716390172,776
1638389598.8018508,1638389598816668050,861
1638389598.90129,1638389598916313022,806
1638389599.0065827,1638389599016015861,866
1638389599.1006572,1638389599115662679,875
1638389599.2023537,1638389599215011430,957
1638389599.302887,1638389599315039543,897
1638389599.402641,1638389599416061545,946
1638389599.4999816,1638389599514949367,837
1638389599.602098,1638389599616209906,898
1638389599.6992238,1638389599714073058,972
1638389599.799275,1638389599814325907,906
1638389599.8992794,1638389599914288813,734
1638389600.0004506,1638389600015271079,790
1638389600.101463,1638389600116479455,856
1638389600.200653,1638389600214767986,903
1638389600.3001742,1638389600313893846,720
1638389600.399451,1638389600414343538,636
1638389600.499873,1638389600514365424,250
1638389600.5997972,1638389600613846122,960
1638389600.7413857,1638389600756188201,2122
1638389600.854415,1638389600869293867,2241
1638389600.954839,1638389600969359503,2151
1638389600.9986484,1638389601010284618,2284
1638389601.0948207,1638389601109774921,1635
1638389601.1948433,1638389601209744539,1934
1638389601.2949808,1638389601309538639,1439
1638389601.3943837,1638389601409306386,1160
1638389601.4937968,1638389601508747315,5367
1638389601.5959544,1638389601610765179,5152
1638389601.7015505,1638389601715980695,1134
1638389601.7934015,1638389601808240968,3721
1638389601.8931627,1638389601908097411,3314
1638389601.9945362,1638389602008114894,2875
1638389602.1256912,1638389602108185210,2897
1638389602.2447088,1638389602259481158,2966
1638389602.3448646,1638389602359216271,3064
1638389602.3937566,1638389602408713599,3021
1638389602.5579975,1638389602572887243,3227
1638389602.656304,1638389602671182798,3061
1638389602.691442,1638389602706074127,3066
1638389602.8452547,1638389602859967218,3007
1638389602.9451525,1638389602959989930,3090
1638389603.0454297,1638389603059652766,3110
1638389603.1592624,1638389603173476621,3020
1638389603.2821038,1638389603259217983,3076
1638389603.2932115,1638389603307897785,3129
1638389603.3902302,1638389603405072495,3063
1638389603.4905455,1638389603505401058,3073
1638389603.5905175,1638389603605337336,2817
1638389603.745579,1638389603759878888,2974
1638389603.8457785,1638389603860152452,2877
1638389603.8893476,1638389603904225769,3048
1638389603.9891846,1638389604004012570,1778
1638389604.1596808,1638389604174194729,3634
1638389604.246414,1638389604261269057,3472
1638389604.2880223,1638389604302542743,429
1638389604.3891244,1638389604403967976,1061
1638389604.4888818,1638389604503397566,971
1638389604.590009,1638389604604167967,941
1638389604.6893451,1638389604703973541,1003
1638389604.787225,1638389604801903989,910
1638389604.890567,1638389604902439810,861
1638389604.9892514,1638389605003242450,941
1638389605.0880227,1638389605102824352,1052
1638389605.1879575,1638389605202566198,1142
1638389605.2880723,1638389605302856369,1171
1638389605.3880696,1638389605402912794,1152
1638389605.4887297,1638389605503255933,1242
1638389605.6447327,1638389605658269733,3731
1638389605.745719,1638389605758812244,3892
1638389605.8653188,1638389605870313428,2609
1638389605.9592829,1638389605973384751,1647
1638389606.0430899,1638389606057444107,1421
1638389606.0853868,1638389606099995395,898
1638389606.18843,1638389606203085594,2516
1638389606.2840405,1638389606298221809,2702
