Time,time,deltaX,deltaY,range,surfaceQuality
1638389564.7536964,1638389564769983688,0,0,8191,105
1638389564.8540072,1638389564870356931,0,1,8191,113
1638389564.9536524,1638389564969844936,1,0,8191,105
1638389565.0545232,1638389565070012887,-1,-1,8191,106
1638389565.14063,1638389565156868643,0,0,8190,109
1638389565.2535408,1638389565269714086,0,0,8191,111
1638389565.354518,1638389565370176883,0,0,8191,103
1638389565.4419556,1638389565457979802,0,0,8190,105
1638389565.5420227,1638389565558234063,0,-1,8190,110
1638389565.6545951,1638389565671026174,0,1,8191,105
1638389565.742368,1638389565758447384,0,0,8190,101
1638389565.841569,1638389565857729482,0,2,8190,105
1638389565.9423578,1638389565958257382,0,0,8190,110
1638389566.0552316,1638389566071303357,0,-1,8191,104
1638389566.1548932,1638389566171301817,0,-1,334,102
1638389566.255011,1638389566270913360,0,0,8191,107
1638389566.3548133,1638389566370765574,1,1,354,109
1638389566.4548092,1638389566470910697,-1,-1,8191,105
1638389566.542229,1638389566557841630,0,0,8190,102
1638389566.6441755,1638389566660004565,0,1,8190,107
1638389566.743303,1638389566759611629,0,0,8190,110
1638389566.857042,1638389566872591004,0,0,8191,103
1638389566.9561388,1638389566972239213,0,-1,8191,105
1638389567.0425045,1638389567058839542,0,0,8190,107
1638389567.1557903,1638389567172152532,0,0,8191,115
1638389567.2431128,1638389567259001354,0,0,8190,108
1638389567.3530667,1638389567369136039,0,0,8191,104
1638389567.4569075,1638389567472324964,0,0,8191,116
1638389567.5401425,1638389567556365420,0,-1,8190,110
1638389567.6400816,1638389567656424634,0,0,8190,106
1638389567.7537742,1638389567769509608,0,0,8191,104
1638389567.8408403,1638389567857098984,0,0,8190,113
1638389567.9443817,1638389567960096820,0,2,8190,109
1638389568.0427122,1638389568058941755,0,0,8190,106
1638389568.1410785,1638389568157221404,0,0,8190,103
1638389568.2411318,1638389568256744042,0,-1,8190,116
1638389568.3401213,1638389568355924033,0,0,8190,107
1638389568.4561298,1638389568471903911,0,1,8191,108
1638389568.5561337,1638389568556758222,0,-1,8190,104
1638389568.6543193,1638389568670094574,0,0,8191,104
1638389568.7411678,1638389568757239348,0,0,8190,107
1638389568.8523393,1638389568868286278,1,2,8191,106
1638389568.9543605,1638389568970224636,0,-1,8191,112
1638389569.0522807,1638389569068223995,0,0,8191,107
1638389569.1409419,1638389569157167913,-1,-1,8190,108
1638389569.2539642,1638389569269947380,0,0,8190,104
1638389569.340686,1638389569356875255,0,0,8190,106
1638389569.4542282,1638389569469916539,1,0,8191,106
1638389569.5392158,1638389569555160237,-1,0,8190,107
1638389569.6392732,1638389569655147212,0,0,8190,107
1638389569.7412274,1638389569756959402,0,2,8190,114
1638389569.8405702,1638389569856730653,0,-1,8190,109
1638389569.9534109,1638389569969664283,0,-2,8191,104
1638389570.0537362,1638389570069697418,0,2,8191,109
1638389570.140517,1638389570156655054,0,-1,8190,106
1638389570.2534482,1638389570269459133,0,-1,8191,107
1638389570.3403437,1638389570356356978,0,3,8190,100
1638389570.4548345,1638389570470431859,0,-2,8190,107
1638389570.5401669,1638389570556313219,0,1,8190,107
1638389570.6399179,1638389570656139390,0,-1,8190,107
1638389570.7393367,1638389570755442293,1,0,8190,106
1638389570.8599832,1638389570875833006,0,0,8191,113
1638389570.9410245,1638389570957193385,0,0,8190,106
1638389571.0539021,1638389571069798005,0,2,8191,104
1638389571.1575074,1638389571172286324,0,0,8191,110
1638389571.2537186,1638389571269604925,0,-2,8191,114
1638389571.3411603,1638389571357155954,0,3,8190,105
1638389571.4537954,1638389571469886938,0,-3,8191,108
1638389571.553908,1638389571569706728,0,-1,8191,106
1638389571.640592,1638389571656634804,0,0,8190,113
1638389571.740724,1638389571756491051,0,1,8190,104
1638389571.853614,1638389571869736867,1,0,8191,101
1638389571.9409204,1638389571956915717,0,0,8190,114
1638389572.0540297,1638389572069843066,-1,-1,8191,106
1638389572.1538558,1638389572169894126,0,3,8191,109
1638389572.2400434,1638389572256190937,0,-1,8190,109
1638389572.3406887,1638389572356736307,0,0,8190,107
1638389572.4529598,1638389572468769941,0,0,8191,108
1638389572.539731,1638389572555751995,0,0,8190,107
1638389572.6528597,1638389572668975548,0,1,8191,109
1638389572.739452,1638389572755392460,0,0,8190,112
1638389572.852497,1638389572868480234,0,0,8191,107
1638389572.9530394,1638389572968929201,0,-2,8190,107
1638389573.0395677,1638389573055633306,0,1,8190,109
1638389573.1413887,1638389573157229666,0,0,8190,103
1638389573.2524643,1638389573268533033,0,0,8191,114
1638389573.4088633,1638389573357457406,0,1,8190,102
1638389573.4548068,1638389573470146573,0,0,8191,110
1638389573.5540879,1638389573569932196,0,-1,8191,107
1638389573.661631,1638389573670125153,0,-1,8191,109
1638389573.7416275,1638389573757382222,0,0,8190,107
1638389573.8548536,1638389573869975818,0,0,8191,115
1638389573.942159,1638389573957778917,3,3,8190,111
1638389574.053933,1638389574069721399,0,1,8191,107
1638389574.1416156,1638389574157135883,1,0,8190,107
1638389574.242586,1638389574257088922,5,-4,8190,102
1638389574.341063,1638389574357140345,9,2,8190,106
1638389574.4411995,1638389574457194945,9,-6,8190,109
1638389574.541013,1638389574556859606,8,0,8190,107
1638389574.6615176,1638389574670017800,17,-5,8191,99
1638389574.7547956,1638389574770573013,14,1,8191,104
1638389574.8533762,1638389574868771303,15,-3,8191,97
1638389574.9538243,1638389574969475731,16,0,8191,98
1638389575.0542254,1638389575069613521,18,1,8191,97
1638389575.1544688,1638389575170332661,26,0,8191,94
1638389575.2416854,1638389575257570400,19,2,8190,90
1638389575.3544393,1638389575370384360,16,4,8191,86
1638389575.441297,1638389575456910761,16,-1,8190,86
1638389575.55471,1638389575570529650,22,-3,8191,89
1638389575.6531465,1638389575668399899,19,-3,8191,81
1638389575.7528713,1638389575768792224,18,-4,8191,93
1638389575.8529153,1638389575868851953,21,-3,8191,95
1638389575.953281,1638389575969225997,16,-1,8191,111
1638389576.040862,1638389576056416614,19,-2,8190,123
1638389576.1535983,1638389576169253882,16,-3,8191,124
1638389576.2412543,1638389576256900279,18,1,8190,126
1638389576.3409114,1638389576356722226,19,-1,8190,122
1638389576.4408565,1638389576456688753,20,-1,8190,131
1638389576.5552554,1638389576570842501,18,0,8191,130
1638389576.6573021,1638389576670745435,17,-2,8191,131
1638389576.740211,1638389576755815330,20,-3,8190,116
1638389576.8535607,1638389576869355603,21,1,8190,116
1638389576.9567657,1638389576972273675,20,-3,8191,112
1638389577.0403175,1638389577056232358,25,7,8190,117
1638389577.1562777,1638389577171443350,25,6,8191,112
1638389577.2567422,1638389577271999731,21,-3,8191,114
1638389577.354457,1638389577370141898,18,-1,8191,116
1638389577.4555624,1638389577471137957,28,0,8191,125
1638389577.542521,1638389577557530759,19,0,8190,128
1638389577.6556072,1638389577671078612,26,0,8191,131
1638389577.7418654,1638389577757157410,18,-2,8190,138
1638389577.8551605,1638389577870197671,21,6,8191,138
1638389577.9555497,1638389577970128130,21,-3,8191,138
1638389578.0548513,1638389578070143654,22,-5,8191,134
1638389578.1541648,1638389578169730395,19,4,8190,134
1638389578.2410257,1638389578256451283,18,0,8190,122
1638389578.3547819,1638389578370012549,21,-6,8191,123
1638389578.4411092,1638389578456401414,19,-1,8190,126
1638389578.5429146,1638389578558262374,18,-3,8190,121
1638389578.6559896,1638389578671383650,20,-5,8191,118
1638389578.7428055,1638389578758011937,19,-5,8190,121
1638389578.8574073,1638389578873036503,17,-1,8191,120
1638389578.943208,1638389578957995400,20,3,8190,125
1638389579.1202536,1638389579071997923,18,3,8191,133
1638389579.1518712,1638389579160892742,21,-5,8190,130
1638389579.256156,1638389579271922062,19,-1,8191,130
1638389579.3565784,1638389579371747415,22,0,8191,134
1638389579.4513235,1638389579465817587,24,-2,8190,120
1638389579.5427647,1638389579558534715,24,8,8190,120
1638389579.656196,1638389579671594406,27,7,8191,117
1638389579.7432933,1638389579758576768,22,7,8190,118
1638389579.857967,1638389579873342410,24,3,8191,127
1638389579.943331,1638389579959110425,23,12,8190,145
1638389580.0877528,1638389580059944207,25,0,8190,152
1638389580.1465254,1638389580161628345,16,0,8190,152
1638389580.2415717,1638389580256932731,9,3,8190,150
